StockCode,Description,QuantityTotal,QuantityAvg,QuantityStd,N_NonZeroDemandPeriods,MinWeek,MaxWeek,N_DemandPeriods,ADI,COV2,demand_type
10002,INFLATABLE POLITICAL GLOBE ,1037,51.85,73.25246537974354,20,201048,201117,70,3.5,1.4127765743441376,Lumpy
10080,GROOVY CACTUS INFLATABLE,495,30.9375,43.30891940466768,16,201108,201147,40,2.5,1.3998842635852178,Lumpy
10120,DOGGY RUBBER,193,9.65,10.830147979744224,20,201048,201148,101,5.05,1.1222951274346344,Lumpy
10124A,SPOTS ON RED BOOKCOVER TAPE,16,3.2,1.3038404810405297,5,201049,201144,96,19.2,0.4074501503251655,Intermitent
10124G,ARMY CAMO BOOKCOVER TAPE,17,4.25,0.4999999999999999,4,201048,201144,97,24.25,0.11764705882352938,Intermitent
10125,MINI FUNKY DESIGN TAPES,1296,36.0,42.57296258022388,36,201048,201149,102,2.8333333333333335,1.1825822938951078,Lumpy
10133,damaged,2775,77.08333333333333,84.37480158706829,36,201048,201146,99,2.75,1.094592020588994,Lumpy
10135,COLOURING PENCILS BROWN TUBE,2230,46.458333333333336,69.09782098769995,48,201048,201149,102,2.125,1.487307357582779,Lumpy
11001,ASSTD DESIGN RACING CAR PEN,1430,31.77777777777778,64.66834580762794,45,201048,201149,102,2.2666666666666666,2.035017875065215,Lumpy
15030,FAN BLACK FRAME ,293,26.636363636363637,44.20695132504101,11,201112,201149,38,3.4545454545454546,1.6596466367762837,Lumpy
15034,PAPER POCKET TRAVELING FAN ,5206,108.45833333333333,311.6826644735529,48,201048,201149,102,2.125,2.873754877973596,Lumpy
15036,ASSORTED COLOURS SILK FAN,22552,425.50943396226415,525.3731868740656,53,201048,201149,102,1.9245283018867925,1.2346922181769011,Lumpy
15039,SANDALWOOD FAN,2065,41.3,73.13120721954311,50,201048,201149,102,2.04,1.7707314096741675,Lumpy
15044A,PINK PAPER PARASOL ,463,12.18421052631579,10.610691352664436,38,201051,201149,99,2.6052631578947367,0.8708558777564763,Lumpy
15044B,BLUE PAPER PARASOL ,293,10.851851851851851,16.188086083726237,27,201048,201139,92,3.4074074074074074,1.4917348950874008,Lumpy
15044C,PURPLE PAPER PARASOL,311,8.18421052631579,9.579977044372132,38,201049,201149,101,2.6578947368421053,1.1705438189264985,Lumpy
15044D,RED PAPER PARASOL,643,17.37837837837838,21.973913007310575,37,201049,201149,101,2.72972972972973,1.2644397842464872,Lumpy
15056BL,EDWARDIAN PARASOL BLACK,2714,51.20754716981132,53.983030984306,53,201048,201149,102,1.9245283018867925,1.054200678765003,Lumpy
15056N,EDWARDIAN PARASOL NATURAL,3897,73.52830188679245,63.82747291710705,53,201048,201149,102,1.9245283018867925,0.8680667345667626,Lumpy
15056P,EDWARDIAN PARASOL PINK,768,14.49056603773585,20.227192893868086,53,201048,201149,102,1.9245283018867925,1.3958870096028757,Lumpy
